model,season,mae_by_season,bias_by_season,rows
Conv1D,весна,4.101669667812361,-1.677035142071005,92
Conv1D,зима,3.7836510182972307,-0.43338672635731873,90
Conv1D,лето,3.1364330886066827,0.38740978932035236,92
Conv1D,осень,3.05214678086204,-1.7614613415339053,91
Dense-сеть,весна,2.2693645182079165,-0.967530654673127,92
Dense-сеть,зима,2.002898935388636,-0.3349932977005287,90
Dense-сеть,лето,1.7991414664448167,-0.34704919621564245,92
Dense-сеть,осень,1.6025671896043716,0.02036944448729567,91
GRU,весна,1.9353039062541466,-0.18557490490484915,92
GRU,зима,1.7634580437066378,-0.024150883583007016,90
GRU,лето,1.59359172185262,0.04700071777122701,92
GRU,осень,1.6992794960846394,-0.2586035244630807,91
Naive (t-1),весна,2.1740489130434786,-0.4062047101449275,92
Naive (t-1),зима,1.8543981481481482,0.2028240740740741,90
Naive (t-1),лето,1.7706068840579712,-0.02377717391304348,92
Naive (t-1),осень,1.6758699633699634,0.30206043956043954,91
RandomForest,весна,2.1304485493773577,-0.4195254474713526,92
RandomForest,зима,1.8439590551184946,-0.05712937973921818,90
RandomForest,лето,1.7160584899979892,-0.018388438670220462,92
RandomForest,осень,1.5531990542779575,-0.05798871964139531,91
Seasonal AutoReg,весна,5.3157234413412695,-3.7790646852246015,92
Seasonal AutoReg,зима,4.160539865041223,1.6171747374730947,90
Seasonal AutoReg,лето,3.1771042068910367,-1.6481412081033766,92
Seasonal AutoReg,осень,3.384143124615082,2.3552668494529247,91
Seasonal naive (t-365),весна,5.023097826086956,-0.8665760869565219,92
Seasonal naive (t-365),зима,4.615601851851852,-1.2783796296296297,90
Seasonal naive (t-365),лето,3.501494565217391,1.1908967391304346,92
Seasonal naive (t-365),осень,3.5713369963369956,-0.48516483516483544,91
